path,size_bytes,sha256,tracked_status,ignored_status,file_type,language,classification,generated_or_human,read_status,parser_used,purpose,principal_symbols,entrypoint_status,references_in,references_out,duplicate_group,risk_notes,reason_not_read
.git/hooks/sendemail-validate.sample,2308,44ebfc923dc5466bc009602f0ecf067b9c65459abfe8868ddc49b78e6ced7a92,GIT_INTERNAL,GIT_INTERNAL,text,,git_internal,generated,METADATA_ONLY,sha256+stat,Git repository metadata,,NOT_ENTRYPOINT,,,,,"Generated, vendored, cached, Git-internal, or binary file; inventoried by metadata and digest per audit scope."
.git/hooks/update.sample,3650,8d5f2fa83e103cf08b57eaa67521df9194f45cbdbcb37da52ad586097a14d106,GIT_INTERNAL,GIT_INTERNAL,text,,git_internal,generated,METADATA_ONLY,sha256+stat,Git repository metadata,,NOT_ENTRYPOINT,,,,,"Generated, vendored, cached, Git-internal, or binary file; inventoried by metadata and digest per audit scope."
.git/index,9802,f038439ea66c2b12dc03df674be2067466def18bd570d5e5a0f59fa49db4054a,GIT_INTERNAL,GIT_INTERNAL,binary,,git_internal,generated,METADATA_ONLY,sha256+stat,Git repository metadata,,NOT_ENTRYPOINT,,,,,"Generated, vendored, cached, Git-internal, or binary file; inventoried by metadata and digest per audit scope."
.git/info/exclude,240,6671fe83b7a07c8932ee89164d1f2793b2318058eb8b98dc5c06ee0a5a3b0ec1,GIT_INTERNAL,GIT_INTERNAL,text,,git_internal,generated,FULL,utf8_full,Git repository metadata,,NOT_ENTRYPOINT,,,,,
.git/logs/HEAD,3004,375827015dda75b0f5bf6119c1d464671cb9db4fbf6d9dbc08b639d90364c105,GIT_INTERNAL,GIT_INTERNAL,text,,git_internal,generated,METADATA_ONLY,sha256+stat,Git repository metadata,,NOT_ENTRYPOINT,,,,,"Generated, vendored, cached, Git-internal, or binary file; inventoried by metadata and digest per audit scope."
.git/logs/refs/heads/codex/personal-capture-v0,1253,43c6a166b1618caa4bc5866d704858f38ce9a25136827c421676c778f995a8f8,GIT_INTERNAL,GIT_INTERNAL,text,,git_internal,generated,METADATA_ONLY,sha256+stat,Git repository metadata,,NOT_ENTRYPOINT,,,,,"Generated, vendored, cached, Git-internal, or binary file; inventoried by metadata and digest per audit scope."
.git/logs/refs/heads/codex/pluggable-transcription-mac,882,4adb17f46d187b914a1df69b061194a3138d8814fddfcfd1ddc43fb25f4f69f2,GIT_INTERNAL,GIT_INTERNAL,text,,git_internal,generated,METADATA_ONLY,sha256+stat,Git repository metadata,,NOT_ENTRYPOINT,,,,,"Generated, vendored, cached, Git-internal, or binary file; inventoried by metadata and digest per audit scope."
.git/logs/refs/heads/codex/speaker-diarization,534,fdb1b81a60b7b89e06e668825a174132fe66862df4e587669010fb189ce5779e,GIT_INTERNAL,GIT_INTERNAL,text,,git_internal,generated,METADATA_ONLY,sha256+stat,Git repository metadata,,NOT_ENTRYPOINT,,,,,"Generated, vendored, cached, Git-internal, or binary file; inventoried by metadata and digest per audit scope."
.git/logs/refs/heads/main,187,545418c57180bfdf27c466617b4007cc42a7a74e5f83ca2d4a6a40ddf1972c72,GIT_INTERNAL,GIT_INTERNAL,text,,git_internal,generated,METADATA_ONLY,sha256+stat,Git repository metadata,,NOT_ENTRYPOINT,,,SHA256-0063,,"Generated, vendored, cached, Git-internal, or binary file; inventoried by metadata and digest per audit scope."
.git/logs/refs/remotes/origin/HEAD,187,545418c57180bfdf27c466617b4007cc42a7a74e5f83ca2d4a6a40ddf1972c72,GIT_INTERNAL,GIT_INTERNAL,text,,git_internal,generated,METADATA_ONLY,sha256+stat,Git repository metadata,,NOT_ENTRYPOINT,,,SHA256-0063,,"Generated, vendored, cached, Git-internal, or binary file; inventoried by metadata and digest per audit scope."
.git/logs/refs/remotes/origin/codex/personal-capture-v0,888,31d19a949f1f6847c1a2aa53971512e806628ab5d4f429c926c0ac548673e45f,GIT_INTERNAL,GIT_INTERNAL,text,,git_internal,generated,METADATA_ONLY,sha256+stat,Git repository metadata,,NOT_ENTRYPOINT,,,,,"Generated, vendored, cached, Git-internal, or binary file; inventoried by metadata and digest per audit scope."
.git/logs/refs/remotes/origin/codex/pluggable-transcription-mac,592,6ee1ff0c25bb2af42509a943e2afec851e15f0f59025c0335544f47380b5278b,GIT_INTERNAL,GIT_INTERNAL,text,,git_internal,generated,METADATA_ONLY,sha256+stat,Git repository metadata,,NOT_ENTRYPOINT,,,,,"Generated, vendored, cached, Git-internal, or binary file; inventoried by metadata and digest per audit scope."
.git/objects/03/8c9cc420555ef107355fab77624bbc58facb04,375,087219aef77b43a2f1ca268a9a044b0d89d1548e65608ec88442b5589fee5d1f,GIT_INTERNAL,GIT_INTERNAL,binary,,git_internal,generated,METADATA_ONLY,sha256+stat,Git repository metadata,,NOT_ENTRYPOINT,,,,,"Generated, vendored, cached, Git-internal, or binary file; inventoried by metadata and digest per audit scope."
.git/objects/06/6b5f823f90a44de015f6563d29de4ecccf1486,1647,c2fec02793454d60e35554c0f5c427851aa8c3b735d98c359abbd68eb42f0d24,GIT_INTERNAL,GIT_INTERNAL,binary,,git_internal,generated,METADATA_ONLY,sha256+stat,Git repository metadata,,NOT_ENTRYPOINT,,,,,"Generated, vendored, cached, Git-internal, or binary file; inventoried by metadata and digest per audit scope."
.git/objects/0c/e7e9fb744278c3c007ea206ba0bd9d0039d74d,691,8315a923b8650d2a1c485b4f8ad978d942ff0d2e0db45c54d40bd3795384ed1a,GIT_INTERNAL,GIT_INTERNAL,binary,,git_internal,generated,METADATA_ONLY,sha256+stat,Git repository metadata,,NOT_ENTRYPOINT,,,,,"Generated, vendored, cached, Git-internal, or binary file; inventoried by metadata and digest per audit scope."
.git/objects/0e/23faaba13c136092c3926c154aa853388f8d48,2060,e497b29bd2bfefcbfd67fbc356e160cb07788e86949447827efd4fb6959a670e,GIT_INTERNAL,GIT_INTERNAL,binary,,git_internal,generated,METADATA_ONLY,sha256+stat,Git repository metadata,,NOT_ENTRYPOINT,,,,,"Generated, vendored, cached, Git-internal, or binary file; inventoried by metadata and digest per audit scope."
.git/objects/0e/787edf19d1e191c69783cb9d0e1b76b8b1bb98,458,5cc8b1d17beeb2a70799aae94c655cd652fa61071af51ee6649d1618f3f0354f,GIT_INTERNAL,GIT_INTERNAL,binary,,git_internal,generated,METADATA_ONLY,sha256+stat,Git repository metadata,,NOT_ENTRYPOINT,,,,,"Generated, vendored, cached, Git-internal, or binary file; inventoried by metadata and digest per audit scope."
.git/objects/0f/ff694c199f6eaa6a8541142afc5a4219fe5986,182,663cd83ac8453d866026f119755b7b9c2ec3fea8e7f1ebd4c4ff0e73d30a4edb,GIT_INTERNAL,GIT_INTERNAL,binary,,git_internal,generated,METADATA_ONLY,sha256+stat,Git repository metadata,,NOT_ENTRYPOINT,,,,,"Generated, vendored, cached, Git-internal, or binary file; inventoried by metadata and digest per audit scope."
.git/objects/11/2d7e9ac84dac41a6caa463ac4c9bb2cf4dae3f,3585,bb6b659db53da566fd81ff5c57dda16c0fd1d54becb3832eb201391581a74c64,GIT_INTERNAL,GIT_INTERNAL,binary,,git_internal,generated,METADATA_ONLY,sha256+stat,Git repository metadata,,NOT_ENTRYPOINT,,,,,"Generated, vendored, cached, Git-internal, or binary file; inventoried by metadata and digest per audit scope."
.git/objects/12/25c791bda4911cab4c0c33e4fae94bf5fe13b5,50,b5f67c53b2bb01ee44555fb74e0ddfcce6285080cb2c41d2a5964a58bf61e4e3,GIT_INTERNAL,GIT_INTERNAL,binary,,git_internal,generated,METADATA_ONLY,sha256+stat,Git repository metadata,,NOT_ENTRYPOINT,,,,,"Generated, vendored, cached, Git-internal, or binary file; inventoried by metadata and digest per audit scope."
.git/objects/13/e9218b51c4a60d092541d9286152316c035128,467,7c12e1fdda1e736f07866bcf7bcbcae0989a15e35345938cdf48972245cd7533,GIT_INTERNAL,GIT_INTERNAL,binary,,git_internal,generated,METADATA_ONLY,sha256+stat,Git repository metadata,,NOT_ENTRYPOINT,,,,,"Generated, vendored, cached, Git-internal, or binary file; inventoried by metadata and digest per audit scope."
.git/objects/14/ea9f67ac264fdc082572f5ce37d8e459868f06,347,5c89483828d353d89f10f638aea6558c81733983ba458ed3fb5290445347f94b,GIT_INTERNAL,GIT_INTERNAL,binary,,git_internal,generated,METADATA_ONLY,sha256+stat,Git repository metadata,,NOT_ENTRYPOINT,,,,,"Generated, vendored, cached, Git-internal, or binary file; inventoried by metadata and digest per audit scope."
.git/objects/15/98e682d7646374142dd8b3829ab5abfb6af8e6,536,7170e38d2c35d6f313af0ba464593f42fe831f42fd9d0ba21fd41191650e965d,GIT_INTERNAL,GIT_INTERNAL,binary,,git_internal,generated,METADATA_ONLY,sha256+stat,Git repository metadata,,NOT_ENTRYPOINT,,,,,"Generated, vendored, cached, Git-internal, or binary file; inventoried by metadata and digest per audit scope."
.git/objects/1b/e7587c70e0a12f56d8c1187157672de9e7834e,2330,39b2433b4990b2ff4da9de08bb7e4f60ed90df8982080b9165b2e70d866cc57e,GIT_INTERNAL,GIT_INTERNAL,binary,,git_internal,generated,METADATA_ONLY,sha256+stat,Git repository metadata,,NOT_ENTRYPOINT,,,,,"Generated, vendored, cached, Git-internal, or binary file; inventoried by metadata and digest per audit scope."
.git/objects/1c/9802bc4ac08215cfd9141b9cab2062ab8472ec,187,b122b83162b0b09c06df0d78dfad1437884736ea8647e03226941a45ea2ffb1b,GIT_INTERNAL,GIT_INTERNAL,binary,,git_internal,generated,METADATA_ONLY,sha256+stat,Git repository metadata,,NOT_ENTRYPOINT,,,,,"Generated, vendored, cached, Git-internal, or binary file; inventoried by metadata and digest per audit scope."
.git/objects/22/1aab739d8b447d14d62edd02536bb7782b6669,9219,ff83f99e0bed5cf2278aa7833a726220ed878ec264833559d297617f652ff46a,GIT_INTERNAL,GIT_INTERNAL,binary,,git_internal,generated,METADATA_ONLY,sha256+stat,Git repository metadata,,NOT_ENTRYPOINT,,,,,"Generated, vendored, cached, Git-internal, or binary file; inventoried by metadata and digest per audit scope."
.git/objects/24/20a1bb779a53f182f8f110e6b65748c1925fe1,542,3504ca9b6387bfa0585f4b65ff14f2e5a2c8e6f891df8eb97c59d4c536bd9307,GIT_INTERNAL,GIT_INTERNAL,binary,,git_internal,generated,METADATA_ONLY,sha256+stat,Git repository metadata,,NOT_ENTRYPOINT,,,,,"Generated, vendored, cached, Git-internal, or binary file; inventoried by metadata and digest per audit scope."
.git/objects/24/8c6b3960b7df1af8806637e1faf9bf02875d58,544,9333ac30a780a5bb9f4330c3256e2d65f7fc08db2a1532956409310103d432d4,GIT_INTERNAL,GIT_INTERNAL,binary,,git_internal,generated,METADATA_ONLY,sha256+stat,Git repository metadata,,NOT_ENTRYPOINT,,,,,"Generated, vendored, cached, Git-internal, or binary file; inventoried by metadata and digest per audit scope."
.git/objects/26/280a98864bc84c3166f028297e7f6e23e72dfb,184,ebf748b222f0359fc2e1190063854b31c784581dd4205817b61bd77e8195baba,GIT_INTERNAL,GIT_INTERNAL,binary,,git_internal,generated,METADATA_ONLY,sha256+stat,Git repository metadata,,NOT_ENTRYPOINT,,,,,"Generated, vendored, cached, Git-internal, or binary file; inventoried by metadata and digest per audit scope."
.git/objects/26/a355664874caf038902a2392eccbd4de813088,179,fd01c5e283637a449fe772f6e94aa40a31509acb9503ee8207d0f672cbc48768,GIT_INTERNAL,GIT_INTERNAL,binary,,git_internal,generated,METADATA_ONLY,sha256+stat,Git repository metadata,,NOT_ENTRYPOINT,,,,,"Generated, vendored, cached, Git-internal, or binary file; inventoried by metadata and digest per audit scope."
.git/objects/26/bd520a34af1bee1164b502f060cbd655c0074c,184,3f598237b60beff74663123d38dd1b64df73cfa3062c0ca1b7248cd7f17a7996,GIT_INTERNAL,GIT_INTERNAL,binary,,git_internal,generated,METADATA_ONLY,sha256+stat,Git repository metadata,,NOT_ENTRYPOINT,,,,,"Generated, vendored, cached, Git-internal, or binary file; inventoried by metadata and digest per audit scope."
.git/objects/26/fbff216c9f9c8319b5507a716404e85ea046a6,564,ff46928766985565de8505348f82f2c1cc422eb455bb30602f3b94df0d7ca4bf,GIT_INTERNAL,GIT_INTERNAL,binary,,git_internal,generated,METADATA_ONLY,sha256+stat,Git repository metadata,,NOT_ENTRYPOINT,,,,,"Generated, vendored, cached, Git-internal, or binary file; inventoried by metadata and digest per audit scope."
.git/objects/27/b849dc379e0664dee9978d70681a1837486dda,376,aba3ace590f527796a38e6913f31024a08edca14c54db24b14c9635146e499a2,GIT_INTERNAL,GIT_INTERNAL,binary,,git_internal,generated,METADATA_ONLY,sha256+stat,Git repository metadata,,NOT_ENTRYPOINT,,,,,"Generated, vendored, cached, Git-internal, or binary file; inventoried by metadata and digest per audit scope."
.git/objects/28/254745f5f4a65866cffc949acbc0cebb5b4715,1791,0892014975183b2b99c2f3d2b5d7bcaa04a6df01ab215f05653561acd4e818da,GIT_INTERNAL,GIT_INTERNAL,binary,,git_internal,generated,METADATA_ONLY,sha256+stat,Git repository metadata,,NOT_ENTRYPOINT,,,,,"Generated, vendored, cached, Git-internal, or binary file; inventoried by metadata and digest per audit scope."
.git/objects/2c/cbe033fdbe2014b50fdba3cfb5097765cca7e5,615,933899e2eed8091ff03071afde7f3d9e094b5772641f13e93656dda4e3603be0,GIT_INTERNAL,GIT_INTERNAL,binary,,git_internal,generated,METADATA_ONLY,sha256+stat,Git repository metadata,,NOT_ENTRYPOINT,,,,,"Generated, vendored, cached, Git-internal, or binary file; inventoried by metadata and digest per audit scope."
.git/objects/2d/1d1174e6404fd0cf41134abe6775aa3ed53d66,1381,cb1e14ac25f727362b1f8c081e5b64aa306f8f8bb53d97e773726e8dcbe99b6e,GIT_INTERNAL,GIT_INTERNAL,binary,,git_internal,generated,METADATA_ONLY,sha256+stat,Git repository metadata,,NOT_ENTRYPOINT,,,,,"Generated, vendored, cached, Git-internal, or binary file; inventoried by metadata and digest per audit scope."
.git/objects/2e/9a7fd2b7321f447c94018c4422b3885389670e,958,d7d99a34c335ded6c632d299000c42afa8d1e249478ac58d2f3890931aad28bf,GIT_INTERNAL,GIT_INTERNAL,binary,,git_internal,generated,METADATA_ONLY,sha256+stat,Git repository metadata,,NOT_ENTRYPOINT,,,,,"Generated, vendored, cached, Git-internal, or binary file; inventoried by metadata and digest per audit scope."
.git/objects/2f/6b44c8f7aef30c8822a02802c980c30bb90a42,2101,3656e22b3a38aa9e259d43a7b99f6e3a68aba546e6276852bfe10a6c10815f1e,GIT_INTERNAL,GIT_INTERNAL,binary,,git_internal,generated,METADATA_ONLY,sha256+stat,Git repository metadata,,NOT_ENTRYPOINT,,,,,"Generated, vendored, cached, Git-internal, or binary file; inventoried by metadata and digest per audit scope."
.git/objects/2f/8cb2e174313ae1d51ce571978b63e981d1dd20,182,2579e07ea7eaac6eb9ac29ec944c9ef5fdf20cd7c64c623da92c5b39e2deca9d,GIT_INTERNAL,GIT_INTERNAL,binary,,git_internal,generated,METADATA_ONLY,sha256+stat,Git repository metadata,,NOT_ENTRYPOINT,,,,,"Generated, vendored, cached, Git-internal, or binary file; inventoried by metadata and digest per audit scope."
.git/objects/31/6d60700cdc7f93d84bbdb095a3c060eb03de63,64,2cfa953e18e3fe54e026f4ec9138e011a1ba9932a78231a4f34ee758dcf8f300,GIT_INTERNAL,GIT_INTERNAL,binary,,git_internal,generated,METADATA_ONLY,sha256+stat,Git repository metadata,,NOT_ENTRYPOINT,,,,,"Generated, vendored, cached, Git-internal, or binary file; inventoried by metadata and digest per audit scope."
.git/objects/32/07f7e0fa7c896c2211159c26cbf9d1cf5a6c0a,317,f8b23a3e4a91d66901a3a08d39b8dbad9a09ed121c26f72f67cbde5e02eea8fc,GIT_INTERNAL,GIT_INTERNAL,binary,,git_internal,generated,METADATA_ONLY,sha256+stat,Git repository metadata,,NOT_ENTRYPOINT,,,,,"Generated, vendored, cached, Git-internal, or binary file; inventoried by metadata and digest per audit scope."
.git/objects/39/17648a4199ca91e8715e6c5f5f977d819c1187,2077,f08a348baf9e0250ec6c5ba6e13facc8413135521cfad9374aa360d7a28de0ad,GIT_INTERNAL,GIT_INTERNAL,binary,,git_internal,generated,METADATA_ONLY,sha256+stat,Git repository metadata,,NOT_ENTRYPOINT,,,,,"Generated, vendored, cached, Git-internal, or binary file; inventoried by metadata and digest per audit scope."
.git/objects/3a/896430d2d5604aa18633c084672b738e0e2a21,1078,1bc5286a2f55b40198f2a0b6e3baa73ce87c6b7826456d890e5068bda3fea127,GIT_INTERNAL,GIT_INTERNAL,binary,,git_internal,generated,METADATA_ONLY,sha256+stat,Git repository metadata,,NOT_ENTRYPOINT,,,,,"Generated, vendored, cached, Git-internal, or binary file; inventoried by metadata and digest per audit scope."
.git/objects/3c/412f00272842c28eb01750f187e300e92f8784,9988,8517880d751e40f6790e258e6fb4c23a140fe75c10d14a4cb0cd864de8db6a74,GIT_INTERNAL,GIT_INTERNAL,binary,,git_internal,generated,METADATA_ONLY,sha256+stat,Git repository metadata,,NOT_ENTRYPOINT,,,,,"Generated, vendored, cached, Git-internal, or binary file; inventoried by metadata and digest per audit scope."
.git/objects/3e/7209668659eaecd6a0bab81c48c56615941c95,363,cf7701d2aac3c8d83a120dde9e8ef9ad2e991f1d381831fa8eda0f13818eb20c,GIT_INTERNAL,GIT_INTERNAL,binary,,git_internal,generated,METADATA_ONLY,sha256+stat,Git repository metadata,,NOT_ENTRYPOINT,,,,,"Generated, vendored, cached, Git-internal, or binary file; inventoried by metadata and digest per audit scope."
.git/objects/40/17dbcad3c97f2589cba1c248468bde4d43e451,545,691ce20f395b0655c32a94f866df8263a556a99beb4338b7b49b8c8b13f8d6f7,GIT_INTERNAL,GIT_INTERNAL,binary,,git_internal,generated,METADATA_ONLY,sha256+stat,Git repository metadata,,NOT_ENTRYPOINT,,,,,"Generated, vendored, cached, Git-internal, or binary file; inventoried by metadata and digest per audit scope."
.git/objects/41/316f0fafe1134766ff12ae27ffd0c319c8d013,1524,033ee6edc3cb7bd5f86efa269b09743c64e3dda556efd72acbf70f43d23c370b,GIT_INTERNAL,GIT_INTERNAL,binary,,git_internal,generated,METADATA_ONLY,sha256+stat,Git repository metadata,,NOT_ENTRYPOINT,,,,,"Generated, vendored, cached, Git-internal, or binary file; inventoried by metadata and digest per audit scope."
.git/objects/42/2c3d37bd4814f7ff927d9b223a44b14e4181fc,1159,471954fe5d21ac373cc2ed5c9829a66454c8e6dd1ae6b16c20b57b900b2371a0,GIT_INTERNAL,GIT_INTERNAL,binary,,git_internal,generated,METADATA_ONLY,sha256+stat,Git repository metadata,,NOT_ENTRYPOINT,,,,,"Generated, vendored, cached, Git-internal, or binary file; inventoried by metadata and digest per audit scope."
.git/objects/43/2eb47774a329da849067165c4299817a1e1eed,1053,18353a1a816a0d6c9f821d2bde8df6d92fb181397a01a7410c3edfbaa22a0392,GIT_INTERNAL,GIT_INTERNAL,binary,,git_internal,generated,METADATA_ONLY,sha256+stat,Git repository metadata,,NOT_ENTRYPOINT,,,,,"Generated, vendored, cached, Git-internal, or binary file; inventoried by metadata and digest per audit scope."
.git/objects/43/c7d193ccd097a7d07c36272573e93871b22072,563,4642525804e485518249042a1f73bfb111c46b0745259fe8a3081e0e26352eb8,GIT_INTERNAL,GIT_INTERNAL,binary,,git_internal,generated,METADATA_ONLY,sha256+stat,Git repository metadata,,NOT_ENTRYPOINT,,,,,"Generated, vendored, cached, Git-internal, or binary file; inventoried by metadata and digest per audit scope."
.git/objects/43/fd8f5848dfc025858f83cc76a5a4045d742255,1975,d1c07233ae19518de2b731786f38c8543565dca0cc82c6f0d982b31afe647fc8,GIT_INTERNAL,GIT_INTERNAL,binary,,git_internal,generated,METADATA_ONLY,sha256+stat,Git repository metadata,,NOT_ENTRYPOINT,,,,,"Generated, vendored, cached, Git-internal, or binary file; inventoried by metadata and digest per audit scope."
.git/objects/44/d89d53e84fdc5a2d049f946e9b1aa980feb920,506,81e74509e9b80726ccc426ecbb643f83add96596f8ff2fba57ed13534234e5ee,GIT_INTERNAL,GIT_INTERNAL,binary,,git_internal,generated,METADATA_ONLY,sha256+stat,Git repository metadata,,NOT_ENTRYPOINT,,,,,"Generated, vendored, cached, Git-internal, or binary file; inventoried by metadata and digest per audit scope."
.git/objects/4c/28c1374c71fa58c67f58c7307f3dd8ca46369c,179,990079d56ab40d5ff741ed5f8452740a352dfa7c106d574adc431f010ee17b34,GIT_INTERNAL,GIT_INTERNAL,binary,,git_internal,generated,METADATA_ONLY,sha256+stat,Git repository metadata,,NOT_ENTRYPOINT,,,,,"Generated, vendored, cached, Git-internal, or binary file; inventoried by metadata and digest per audit scope."
.git/objects/51/7c2180c1c33a1a5b2075022ce1c74ac6296067,611,198f22b91c63beaa09db507d967f9cae2c8556a43642b9b11a85990680bbbbc7,GIT_INTERNAL,GIT_INTERNAL,binary,,git_internal,generated,METADATA_ONLY,sha256+stat,Git repository metadata,,NOT_ENTRYPOINT,,,,,"Generated, vendored, cached, Git-internal, or binary file; inventoried by metadata and digest per audit scope."
.git/objects/54/a48132325925961485360ac6c3a550f5d6fe0e,186,d29c67f291199c1426885a1239167140db55810bc1a6f762c38c8afadd172a2e,GIT_INTERNAL,GIT_INTERNAL,binary,,git_internal,generated,METADATA_ONLY,sha256+stat,Git repository metadata,,NOT_ENTRYPOINT,,,,,"Generated, vendored, cached, Git-internal, or binary file; inventoried by metadata and digest per audit scope."
.git/objects/56/1ed02afe68d1130c256825bbf37300aa3138ca,564,c650ced5879154e442a0bef4ecb7b86df2d98e7a861d8552af1d4ab231cc32de,GIT_INTERNAL,GIT_INTERNAL,binary,,git_internal,generated,METADATA_ONLY,sha256+stat,Git repository metadata,,NOT_ENTRYPOINT,,,,,"Generated, vendored, cached, Git-internal, or binary file; inventoried by metadata and digest per audit scope."
.git/objects/56/79e79dc072fb1dd9ec5608aa6aadf9281b381e,635,2b296380809d978adb17e9b685f7da356e1905786da882b6850a7f7619056eb2,GIT_INTERNAL,GIT_INTERNAL,binary,,git_internal,generated,METADATA_ONLY,sha256+stat,Git repository metadata,,NOT_ENTRYPOINT,,,,,"Generated, vendored, cached, Git-internal, or binary file; inventoried by metadata and digest per audit scope."
