path,qualified_name,kind,line,end_line,decorators,callers,callees,imports,runtime_reachability,tests,configuration_dependencies,data_io,side_effects,external_services,documented,status
dubbing/apps/personal_capture/preflight.py,dubbing.apps.personal_capture.preflight,module,1,213,,tests/personal_capture/test_preflight.py,__future__;argparse;dubbing.apps.personal_capture.config;dubbing.media;dubbing.transcription.job;importlib.util;json;os;pathlib;shutil;subprocess,__future__;argparse;dubbing.apps.personal_capture.config;dubbing.media;dubbing.transcription.job;importlib.util;json;os;pathlib;shutil;subprocess,STATICALLY_REFERENCED,,,,,,NO_OR_UNKNOWN,ACTIVE_OR_EXTERNALLY_REACHABLE
dubbing/apps/personal_capture/review.py,dubbing.apps.personal_capture.review,module,1,210,,tests/personal_capture/test_review_app.py,__future__;argparse;dubbing.apps.personal_capture.config;dubbing.apps.personal_capture.runtime;flask;hmac;json;os;pathlib;re;secrets;werkzeug.utils,__future__;argparse;dubbing.apps.personal_capture.config;dubbing.apps.personal_capture.runtime;flask;hmac;json;os;pathlib;re;secrets;werkzeug.utils,STATICALLY_REFERENCED,,,,,,NO_OR_UNKNOWN,ACTIVE_OR_EXTERNALLY_REACHABLE
dubbing/apps/personal_capture/runtime.py,dubbing.apps.personal_capture.runtime,module,1,51,,dubbing/apps/personal_capture/benchmark.py;dubbing/apps/personal_capture/review.py;dubbing/apps/personal_capture/watcher.py,__future__;dubbing.apps.personal_capture.service;dubbing.diarization;dubbing.transcription;dubbing.translation,__future__;dubbing.apps.personal_capture.service;dubbing.diarization;dubbing.transcription;dubbing.translation,STATICALLY_REFERENCED,,,,,,NO_OR_UNKNOWN,ACTIVE_OR_EXTERNALLY_REACHABLE
dubbing/apps/personal_capture/service.py,dubbing.apps.personal_capture.service,module,1,537,,dubbing/apps/personal_capture/__init__.py;dubbing/apps/personal_capture/runtime.py,__future__;dataclasses;datetime;dubbing.apps.personal_capture.outbox;dubbing.apps.personal_capture.store;dubbing.diarization.base;dubbing.diarization.job;dubbing.diarization.models;dubbing.transcription;dubbing.transcription.job;dubbing.translation;hashlib;json;os;pathlib;shutil;time;typing,__future__;dataclasses;datetime;dubbing.apps.personal_capture.outbox;dubbing.apps.personal_capture.store;dubbing.diarization.base;dubbing.diarization.job;dubbing.diarization.models;dubbing.transcription;dubbing.transcription.job;dubbing.translation;hashlib;json;os;pathlib;shutil;time;typing,STATICALLY_REFERENCED,,,,,,NO_OR_UNKNOWN,ACTIVE_OR_EXTERNALLY_REACHABLE
dubbing/apps/personal_capture/store.py,dubbing.apps.personal_capture.store,module,1,236,,dubbing/apps/personal_capture/__init__.py;dubbing/apps/personal_capture/service.py,__future__;dataclasses;datetime;pathlib;sqlite3,__future__;dataclasses;datetime;pathlib;sqlite3,STATICALLY_REFERENCED,,,,,,NO_OR_UNKNOWN,ACTIVE_OR_EXTERNALLY_REACHABLE
dubbing/apps/personal_capture/watcher.py,dubbing.apps.personal_capture.watcher,module,1,101,,,__future__;argparse;datetime;dubbing.apps.personal_capture.config;dubbing.apps.personal_capture.runtime;fcntl;json;logging;os;pathlib;signal;time,__future__;argparse;datetime;dubbing.apps.personal_capture.config;dubbing.apps.personal_capture.runtime;fcntl;json;logging;os;pathlib;signal;time,EXTERNAL_OR_UNRESOLVED,,,,,,NO_OR_UNKNOWN,ACTIVE_OR_EXTERNALLY_REACHABLE
dubbing/assembler.py,dubbing.assembler,module,1,207,,dubbing/apps/dubbing_web.py;dubbing/batch.py;dubbing/cli/main.py;tests/core/test_adversarial_hardening.py;tests/core/test_assembler.py;tests/core/test_mutant_killers.py,__future__;array;dubbing.aligner;dubbing.models;io;sys;wave,__future__;array;dubbing.aligner;dubbing.models;io;sys;wave,STATICALLY_REFERENCED,,,,,,YES,ACTIVE_OR_EXTERNALLY_REACHABLE
dubbing/backends/__init__.py,dubbing.backends.__init__,module,1,29,,dubbing/apps/dubbing_web.py;dubbing/backends/__init__.py;dubbing/backends/espeak.py;dubbing/backends/piper.py;dubbing/backends/say.py;dubbing/batch.py;dubbing/cli/factories.py;dubbing/pipeline.py;tests/core/test_adversarial_hardening.py;tests/core/test_batch.py;tests/core/test_espeak_backend.py;tests/core/test_parallel_pipeline.py;tests/core/test_pipeline.py;tests/core/test_piper_backend.py;tests/core/test_prosody_bounds.py;tests/core/test_say_backend.py;tests/diarization/test_pipeline.py;tests/web/test_app.py;tests/web/test_result.py;tests/web/test_stream.py;tests/web/test_upload_limit.py,__future__;dubbing.backends.base;dubbing.backends.espeak;dubbing.backends.piper;dubbing.backends.say;os;shutil,__future__;dubbing.backends.base;dubbing.backends.espeak;dubbing.backends.piper;dubbing.backends.say;os;shutil,STATICALLY_REFERENCED,,,,,,NO_OR_UNKNOWN,ACTIVE_OR_EXTERNALLY_REACHABLE
dubbing/backends/base.py,dubbing.backends.base,module,1,12,,dubbing/backends/__init__.py;dubbing/backends/espeak.py;dubbing/backends/piper.py;dubbing/backends/say.py;dubbing/batch.py;dubbing/cli/factories.py;dubbing/pipeline.py;tests/core/test_adversarial_hardening.py;tests/core/test_batch.py;tests/core/test_parallel_pipeline.py;tests/core/test_pipeline.py;tests/core/test_piper_backend.py;tests/core/test_say_backend.py;tests/diarization/test_pipeline.py;tests/web/test_app.py;tests/web/test_result.py;tests/web/test_stream.py;tests/web/test_upload_limit.py,__future__;abc;dubbing.models,__future__;abc;dubbing.models,STATICALLY_REFERENCED,,,,,,YES,ACTIVE_OR_EXTERNALLY_REACHABLE
dubbing/backends/espeak.py,dubbing.backends.espeak,module,1,150,,dubbing/backends/__init__.py;dubbing/cli/factories.py;tests/core/test_espeak_backend.py,__future__;dubbing.backends.base;dubbing.models;io;re;shutil;subprocess;wave,__future__;dubbing.backends.base;dubbing.models;io;re;shutil;subprocess;wave,STATICALLY_REFERENCED,,,,,,YES,ACTIVE_OR_EXTERNALLY_REACHABLE
dubbing/backends/piper.py,dubbing.backends.piper,module,1,82,,dubbing/backends/__init__.py;dubbing/cli/factories.py;tests/core/test_piper_backend.py,__future__;dubbing.backends.base;dubbing.models;io;json;os;shutil;subprocess;wave,__future__;dubbing.backends.base;dubbing.models;io;json;os;shutil;subprocess;wave,STATICALLY_REFERENCED,,,,,,NO_OR_UNKNOWN,ACTIVE_OR_EXTERNALLY_REACHABLE
dubbing/backends/say.py,dubbing.backends.say,module,1,239,,dubbing/backends/__init__.py;dubbing/cli/factories.py;tests/core/test_adversarial_hardening.py;tests/core/test_prosody_bounds.py;tests/core/test_say_backend.py,__future__;dubbing.backends.base;dubbing.models;io;pathlib;re;shutil;subprocess;tempfile;wave,__future__;dubbing.backends.base;dubbing.models;io;pathlib;re;shutil;subprocess;tempfile;wave,STATICALLY_REFERENCED,,,,,,YES,ACTIVE_OR_EXTERNALLY_REACHABLE
dubbing/batch.py,dubbing.batch,module,1,37,,dubbing/cli/main.py;tests/core/test_batch.py,__future__;dubbing.aligner;dubbing.assembler;dubbing.backends.base;dubbing.pipeline;json;pathlib,__future__;dubbing.aligner;dubbing.assembler;dubbing.backends.base;dubbing.pipeline;json;pathlib,STATICALLY_REFERENCED,,,,,,YES,ACTIVE_OR_EXTERNALLY_REACHABLE
dubbing/cli/__init__.py,dubbing.cli.__init__,module,1,6,,dubbing/__main__.py;dubbing/cli/__init__.py;dubbing/cli/main.py,dubbing.cli.main,dubbing.cli.main,STATICALLY_REFERENCED,,,,,,NO_OR_UNKNOWN,ACTIVE_OR_EXTERNALLY_REACHABLE
dubbing/cli/factories.py,dubbing.cli.factories,module,1,97,,dubbing/cli/main.py,__future__;argparse;dubbing.backends;dubbing.backends.base;dubbing.backends.espeak;dubbing.backends.piper;dubbing.backends.say;dubbing.diarization;dubbing.transcription;os,__future__;argparse;dubbing.backends;dubbing.backends.base;dubbing.backends.espeak;dubbing.backends.piper;dubbing.backends.say;dubbing.diarization;dubbing.transcription;os,STATICALLY_REFERENCED,,,,,,NO_OR_UNKNOWN,ACTIVE_OR_EXTERNALLY_REACHABLE
dubbing/cli/main.py,dubbing.cli.main,module,1,506,,dubbing/cli/__init__.py,__future__;argparse;dubbing.aligner;dubbing.apps.personal_capture;dubbing.assembler;dubbing.batch;dubbing.cli.factories;dubbing.diarization;dubbing.pipeline;dubbing.srt_parser;dubbing.transcription;dubbing.translation;glob;json;pathlib;subprocess;sys,__future__;argparse;dubbing.aligner;dubbing.apps.personal_capture;dubbing.assembler;dubbing.batch;dubbing.cli.factories;dubbing.diarization;dubbing.pipeline;dubbing.srt_parser;dubbing.transcription;dubbing.translation;glob;json;pathlib;subprocess;sys,STATICALLY_REFERENCED,,,,,,NO_OR_UNKNOWN,ACTIVE_OR_EXTERNALLY_REACHABLE
dubbing/diarization/__init__.py,dubbing.diarization.__init__,module,1,32,,dubbing/apps/personal_capture/runtime.py;dubbing/apps/personal_capture/service.py;dubbing/cli/factories.py;dubbing/cli/main.py;dubbing/diarization/__init__.py;dubbing/diarization/attribution.py;dubbing/diarization/base.py;dubbing/diarization/job.py;dubbing/diarization/sherpa.py;dubbing/pipeline.py;dubbing/transcription/attribution.py;dubbing/transcription/pipeline.py;tests/diarization/test_attribution.py;tests/diarization/test_pipeline.py;tests/diarization/test_resumable.py;tests/diarization/test_sherpa_backend.py;tests/personal_capture/test_full_day_gate.py;tests/transcription/test_diarization_integration.py,dubbing.diarization.attribution;dubbing.diarization.base;dubbing.diarization.job;dubbing.diarization.models;dubbing.diarization.sherpa,dubbing.diarization.attribution;dubbing.diarization.base;dubbing.diarization.job;dubbing.diarization.models;dubbing.diarization.sherpa,STATICALLY_REFERENCED,,,,,,NO_OR_UNKNOWN,ACTIVE_OR_EXTERNALLY_REACHABLE
dubbing/diarization/attribution.py,dubbing.diarization.attribution,module,1,135,,dubbing/diarization/__init__.py;dubbing/pipeline.py;dubbing/transcription/attribution.py,__future__;collections;dubbing.aligner;dubbing.diarization.models,__future__;collections;dubbing.aligner;dubbing.diarization.models,STATICALLY_REFERENCED,,,,,,NO_OR_UNKNOWN,ACTIVE_OR_EXTERNALLY_REACHABLE
dubbing/diarization/base.py,dubbing.diarization.base,module,1,19,,dubbing/apps/personal_capture/service.py;dubbing/diarization/__init__.py;dubbing/diarization/job.py;dubbing/diarization/sherpa.py;dubbing/pipeline.py;dubbing/transcription/pipeline.py,__future__;abc;dubbing.diarization.models;pathlib,__future__;abc;dubbing.diarization.models;pathlib,STATICALLY_REFERENCED,,,,,,NO_OR_UNKNOWN,ACTIVE_OR_EXTERNALLY_REACHABLE
dubbing/diarization/job.py,dubbing.diarization.job,module,1,239,,dubbing/apps/personal_capture/service.py;dubbing/diarization/__init__.py,__future__;dubbing.diarization.base;dubbing.diarization.models;dubbing.media;dubbing.transcription.job;json;os;pathlib;subprocess;tempfile,__future__;dubbing.diarization.base;dubbing.diarization.models;dubbing.media;dubbing.transcription.job;json;os;pathlib;subprocess;tempfile,STATICALLY_REFERENCED,,,,,,NO_OR_UNKNOWN,ACTIVE_OR_EXTERNALLY_REACHABLE
dubbing/diarization/models.py,dubbing.diarization.models,module,1,135,,dubbing/apps/personal_capture/service.py;dubbing/diarization/__init__.py;dubbing/diarization/attribution.py;dubbing/diarization/base.py;dubbing/diarization/job.py;dubbing/diarization/sherpa.py;dubbing/pipeline.py;dubbing/transcription/attribution.py;dubbing/transcription/pipeline.py,__future__;dataclasses;typing,__future__;dataclasses;typing,STATICALLY_REFERENCED,,,,,,NO_OR_UNKNOWN,ACTIVE_OR_EXTERNALLY_REACHABLE
dubbing/diarization/sherpa.py,dubbing.diarization.sherpa,module,1,308,,dubbing/diarization/__init__.py,__future__;dubbing.diarization.base;dubbing.diarization.models;dubbing.media;importlib;pathlib;shutil;subprocess;tempfile;wave,__future__;dubbing.diarization.base;dubbing.diarization.models;dubbing.media;importlib;pathlib;shutil;subprocess;tempfile;wave,STATICALLY_REFERENCED,,,,,,NO_OR_UNKNOWN,ACTIVE_OR_EXTERNALLY_REACHABLE
dubbing/gpu_launcher.py,dubbing.gpu_launcher,module,1,44,,,__future__;os;pathlib;site;sys,__future__;os;pathlib;site;sys,EXTERNAL_OR_UNRESOLVED,,,,,,NO_OR_UNKNOWN,ACTIVE_OR_EXTERNALLY_REACHABLE
dubbing/media.py,dubbing.media,module,1,17,,dubbing/apps/personal_capture/preflight.py;dubbing/diarization/job.py;dubbing/diarization/sherpa.py;dubbing/transcription/job.py;tests/core/test_media.py,__future__;importlib;shutil,__future__;importlib;shutil,STATICALLY_REFERENCED,,,,,,NO_OR_UNKNOWN,ACTIVE_OR_EXTERNALLY_REACHABLE
dubbing/models.py,dubbing.models,module,1,32,,dubbing/aligner.py;dubbing/assembler.py;dubbing/backends/base.py;dubbing/backends/espeak.py;dubbing/backends/piper.py;dubbing/backends/say.py;dubbing/pipeline.py;dubbing/prosody.py;dubbing/srt_parser.py;tests/conftest.py;tests/core/test_adversarial_hardening.py;tests/core/test_aligner.py;tests/core/test_assembler.py;tests/core/test_batch.py;tests/core/test_espeak_backend.py;tests/core/test_mutant_killers.py;tests/core/test_parallel_pipeline.py;tests/core/test_pipeline.py;tests/core/test_piper_backend.py;tests/core/test_prosody.py;tests/core/test_say_backend.py;tests/core/test_srt_parser.py;tests/diarization/test_pipeline.py;tests/support/assertions.py;tests/support/builders.py;tests/web/test_app.py;tests/web/test_result.py;tests/web/test_stream.py;tests/web/test_upload_limit.py,__future__;dataclasses,__future__;dataclasses,STATICALLY_REFERENCED,,,,,,YES,ACTIVE_OR_EXTERNALLY_REACHABLE
dubbing/pipeline.py,dubbing.pipeline,module,1,114,,dubbing/apps/dubbing_web.py;dubbing/batch.py;dubbing/cli/main.py;tests/core/test_parallel_pipeline.py;tests/core/test_pipeline.py;tests/diarization/test_pipeline.py,__future__;concurrent.futures;dubbing.aligner;dubbing.backends.base;dubbing.diarization.attribution;dubbing.diarization.base;dubbing.diarization.models;dubbing.models;dubbing.prosody;dubbing.srt_parser;os;pathlib,__future__;concurrent.futures;dubbing.aligner;dubbing.backends.base;dubbing.diarization.attribution;dubbing.diarization.base;dubbing.diarization.models;dubbing.models;dubbing.prosody;dubbing.srt_parser;os;pathlib,STATICALLY_REFERENCED,,,,,,YES,ACTIVE_OR_EXTERNALLY_REACHABLE
dubbing/prosody.py,dubbing.prosody,module,1,16,,dubbing/pipeline.py;tests/core/test_boundaries.py;tests/core/test_mutant_killers.py;tests/core/test_prosody.py;tests/core/test_srt_parser.py,__future__;dubbing.models;re,__future__;dubbing.models;re,STATICALLY_REFERENCED,,,,,,YES,ACTIVE_OR_EXTERNALLY_REACHABLE
dubbing/srt_parser.py,dubbing.srt_parser,module,1,40,,dubbing/cli/main.py;dubbing/pipeline.py;tests/core/test_boundaries.py;tests/core/test_mutant_killers.py;tests/core/test_srt_parser.py,__future__;dubbing.models;pathlib;re,__future__;dubbing.models;pathlib;re,STATICALLY_REFERENCED,,,,,,NO_OR_UNKNOWN,ACTIVE_OR_EXTERNALLY_REACHABLE
dubbing/transcription/__init__.py,dubbing.transcription.__init__,module,1,39,,dubbing/apps/personal_capture/preflight.py;dubbing/apps/personal_capture/runtime.py;dubbing/apps/personal_capture/service.py;dubbing/cli/factories.py;dubbing/cli/main.py;dubbing/diarization/job.py;dubbing/transcription/__init__.py;dubbing/transcription/attribution.py;dubbing/transcription/base.py;dubbing/transcription/faster_whisper.py;dubbing/transcription/job.py;dubbing/transcription/mlx_whisper.py;dubbing/transcription/pipeline.py;dubbing/transcription/render.py;dubbing/translation/job.py;dubbing/translation/pipeline.py;tests/personal_capture/test_full_day_gate.py;tests/personal_capture/test_service.py;tests/transcription/test_diarization_integration.py;tests/transcription/test_faster_whisper_backend.py;tests/transcription/test_mlx_backend.py;tests/transcription/test_models.py;tests/transcription/test_resumable.py;tests/translation/test_pipeline.py;tests/translation/test_resumable.py,dubbing.transcription.attribution;dubbing.transcription.base;dubbing.transcription.faster_whisper;dubbing.transcription.job;dubbing.transcription.mlx_whisper;dubbing.transcription.models;dubbing.transcription.pipeline;dubbing.transcription.render,dubbing.transcription.attribution;dubbing.transcription.base;dubbing.transcription.faster_whisper;dubbing.transcription.job;dubbing.transcription.mlx_whisper;dubbing.transcription.models;dubbing.transcription.pipeline;dubbing.transcription.render,STATICALLY_REFERENCED,,,,,,NO_OR_UNKNOWN,ACTIVE_OR_EXTERNALLY_REACHABLE
dubbing/transcription/attribution.py,dubbing.transcription.attribution,module,1,60,,dubbing/transcription/__init__.py;dubbing/transcription/pipeline.py,__future__;dataclasses;dubbing.diarization.attribution;dubbing.diarization.models;dubbing.transcription.models,__future__;dataclasses;dubbing.diarization.attribution;dubbing.diarization.models;dubbing.transcription.models,STATICALLY_REFERENCED,,,,,,NO_OR_UNKNOWN,ACTIVE_OR_EXTERNALLY_REACHABLE
dubbing/transcription/base.py,dubbing.transcription.base,module,1,27,,dubbing/transcription/__init__.py;dubbing/transcription/faster_whisper.py;dubbing/transcription/job.py;dubbing/transcription/mlx_whisper.py;dubbing/transcription/pipeline.py,__future__;abc;dubbing.transcription.models;pathlib,__future__;abc;dubbing.transcription.models;pathlib,STATICALLY_REFERENCED,,,,,,NO_OR_UNKNOWN,ACTIVE_OR_EXTERNALLY_REACHABLE
dubbing/transcription/faster_whisper.py,dubbing.transcription.faster_whisper,module,1,215,,dubbing/transcription/__init__.py,__future__;dubbing.transcription.base;dubbing.transcription.models;hashlib;importlib;math;pathlib;typing,__future__;dubbing.transcription.base;dubbing.transcription.models;hashlib;importlib;math;pathlib;typing,STATICALLY_REFERENCED,,,,,,NO_OR_UNKNOWN,ACTIVE_OR_EXTERNALLY_REACHABLE
dubbing/transcription/job.py,dubbing.transcription.job,module,1,297,,dubbing/apps/personal_capture/preflight.py;dubbing/apps/personal_capture/service.py;dubbing/diarization/job.py;dubbing/transcription/__init__.py,__future__;dataclasses;dubbing.media;dubbing.transcription.base;dubbing.transcription.models;hashlib;json;os;pathlib;shutil;subprocess;tempfile,__future__;dataclasses;dubbing.media;dubbing.transcription.base;dubbing.transcription.models;hashlib;json;os;pathlib;shutil;subprocess;tempfile,STATICALLY_REFERENCED,,,,,,NO_OR_UNKNOWN,ACTIVE_OR_EXTERNALLY_REACHABLE
dubbing/transcription/mlx_whisper.py,dubbing.transcription.mlx_whisper,module,1,179,,dubbing/transcription/__init__.py,__future__;dubbing.transcription.base;dubbing.transcription.models;hashlib;importlib;math;pathlib;typing,__future__;dubbing.transcription.base;dubbing.transcription.models;hashlib;importlib;math;pathlib;typing,STATICALLY_REFERENCED,,,,,,NO_OR_UNKNOWN,ACTIVE_OR_EXTERNALLY_REACHABLE
dubbing/transcription/models.py,dubbing.transcription.models,module,1,163,,dubbing/transcription/__init__.py;dubbing/transcription/attribution.py;dubbing/transcription/base.py;dubbing/transcription/faster_whisper.py;dubbing/transcription/job.py;dubbing/transcription/mlx_whisper.py;dubbing/transcription/pipeline.py;dubbing/transcription/render.py;dubbing/translation/job.py;dubbing/translation/pipeline.py,__future__;dataclasses;typing,__future__;dataclasses;typing,STATICALLY_REFERENCED,,,,,,NO_OR_UNKNOWN,ACTIVE_OR_EXTERNALLY_REACHABLE
dubbing/transcription/pipeline.py,dubbing.transcription.pipeline,module,1,31,,dubbing/transcription/__init__.py,__future__;dubbing.diarization.base;dubbing.diarization.models;dubbing.transcription.attribution;dubbing.transcription.base;dubbing.transcription.models;pathlib,__future__;dubbing.diarization.base;dubbing.diarization.models;dubbing.transcription.attribution;dubbing.transcription.base;dubbing.transcription.models;pathlib,STATICALLY_REFERENCED,,,,,,NO_OR_UNKNOWN,ACTIVE_OR_EXTERNALLY_REACHABLE
dubbing/transcription/render.py,dubbing.transcription.render,module,1,38,,dubbing/transcription/__init__.py,__future__;dubbing.transcription.models,__future__;dubbing.transcription.models,STATICALLY_REFERENCED,,,,,,NO_OR_UNKNOWN,ACTIVE_OR_EXTERNALLY_REACHABLE
